company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
US Franchise Systems,1995,0,1996-01-01,1996-10-24,IPO,Jay_Ritter,,,,1996-01-01,1996-10-24,1,0.813141683778234,Other,Unknown,Unknown,0,29,1990,0,0.5950610775213702
Javelin Systems,1995,0,1996-01-01,1996-10-25,IPO,Jay_Ritter,,,,1996-01-01,1996-10-25,1,0.8158795345653662,Other,Unknown,Unknown,0,29,1990,0,0.5965699423870402
Triangle Pharmaceuticals,1995,1,1996-01-01,1996-10-31,IPO,Jay_Ritter,,,,1996-01-01,1996-10-31,1,0.8323066392881588,Other,Unknown,Unknown,0,29,1990,0,0.605575631769653
Candlewood Hotel Company,1996,0,1996-01-01,1996-11-05,IPO,Jay_Ritter,,,,1996-01-01,1996-11-05,1,0.8459958932238193,Other,Unknown,Unknown,0,28,1990,0,0.6130189113890305
Bristol Technology Systems,1996,0,1996-01-01,1996-11-12,IPO,Jay_Ritter,,,,1996-01-01,1996-11-12,1,0.865160848733744,Other,Unknown,Unknown,0,28,1990,0,0.6233472953466449
Brilliant Digital Ent,1996,0,1996-01-01,1996-11-22,IPO,Jay_Ritter,,,,1996-01-01,1996-11-22,1,0.892539356605065,Other,Unknown,Unknown,0,28,1990,0,0.6379195022057357
Genesis Energy LP,1996,0,1996-01-01,1996-11-26,IPO,Jay_Ritter,,,,1996-01-01,1996-11-26,1,0.9034907597535934,Other,Unknown,Unknown,0,28,1990,0,0.6436894424832653
Think New Ideas,1996,0,1996-01-01,1996-11-26,IPO,Jay_Ritter,,,,1996-01-01,1996-11-26,1,0.9034907597535934,Other,Unknown,Unknown,0,28,1990,0,0.6436894424832653
"Leading Edge Packaging, Inc.",1995,0,1996-01-01,1996-12-02,IPO,Jay_Ritter,,,,1996-01-01,1996-12-02,1,0.919917864476386,Other,Unknown,Unknown,0,29,1990,0,0.6522824062060972
Translation Group,1995,0,1996-01-01,1996-12-02,IPO,Jay_Ritter,,,,1996-01-01,1996-12-02,1,0.919917864476386,Other,Unknown,Unknown,0,29,1990,0,0.6522824062060972
WebSecure,1995,0,1996-01-01,1996-12-04,IPO,Jay_Ritter,,,,1996-01-01,1996-12-04,1,0.9253935660506504,Other,Unknown,Unknown,0,29,1990,0,0.6551303967391574
World Heart,1996,0,1996-01-01,1996-12-12,IPO,Jay_Ritter,,,,1996-01-01,1996-12-12,1,0.947296372347707,Other,Unknown,Unknown,0,28,1990,0,0.6664419348097318
Titan Exploration,1996,1,1996-01-01,1996-12-16,IPO,Jay_Ritter,,,,1996-01-01,1996-12-16,1,0.9582477754962354,Other,Unknown,Unknown,0,28,1990,0,0.6720500812994108
Patient Infosystems,1995,1,1996-01-01,1996-12-19,IPO,Jay_Ritter,,,,1996-01-01,1996-12-19,1,0.9664613278576316,Other,Unknown,Unknown,0,29,1990,0,0.67623564722859
CD Warehouse Inc,1996,0,1997-01-01,1997-01-22,IPO,Jay_Ritter,,,,1997-01-01,1997-01-22,1,0.0574948665297741,Other,Unknown,Unknown,0,28,1990,0,0.055902777581146326
Coulter Pharmaceuticals Inc,1995,1,1996-01-01,1997-01-28,IPO,Jay_Ritter,,,,1996-01-01,1997-01-28,1,1.0759753593429158,Other,Unknown,Unknown,0,29,1990,0,0.7304310959378816
ErgoBilt Inc,1995,0,1996-01-01,1997-02-03,IPO,Jay_Ritter,,,,1996-01-01,1997-02-03,1,1.0924024640657084,Other,Unknown,Unknown,0,29,1990,0,0.738312910140135
Knightsbridge Tankers Ltd,1996,0,1997-01-01,1997-02-06,IPO,Jay_Ritter,,,,1997-01-01,1997-02-06,1,0.0985626283367556,Other,Unknown,Unknown,0,28,1990,0,0.09400262381341672
Specialty Care Network Inc,1996,0,1997-01-01,1997-02-06,IPO,Jay_Ritter,,,,1997-01-01,1997-02-06,1,0.0985626283367556,Other,Unknown,Unknown,0,28,1990,0,0.09400262381341672
Profile Technology Inc,1995,0,1996-01-01,1997-02-12,IPO,Jay_Ritter,,,,1996-01-01,1997-02-12,1,1.1170431211498972,Other,Unknown,Unknown,0,29,1990,0,0.7500203609343701
Metropolitan Health Networks,1996,0,1997-01-01,1997-02-20,IPO,Jay_Ritter,,,,1997-01-01,1997-02-20,1,0.136892539356605,Other,Unknown,Unknown,0,28,1990,0,0.12829869786259535
First Aviation Services Inc,1995,0,1996-01-01,1997-02-27,IPO,Jay_Ritter,,,,1996-01-01,1997-02-27,1,1.158110882956879,Other,Unknown,Unknown,0,29,1990,0,0.7692332477943614
Mercury Waste Solutions Inc,1995,0,1996-01-01,1997-02-28,IPO,Jay_Ritter,,,,1996-01-01,1997-02-28,1,1.160848733744011,Other,Unknown,Unknown,0,29,1990,0,0.7705010768072922
PalEx Inc,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039,Other,Unknown,Unknown,0,28,1990,0,0.19355189432350842
Physicians Specialty Corp,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039,Other,Unknown,Unknown,0,28,1990,0,0.19355189432350842
