company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years
Mercury Waste Solutions Inc,1995,0,1996-01-01,1997-02-28,IPO,Jay_Ritter,,,,1996-01-01,1997-02-28,1,1.160848733744011
PalEx Inc,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039
Physicians Specialty Corp,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039
IAT Multimedia Inc,1996,0,1997-01-01,1997-03-26,IPO,Jay_Ritter,,,,1997-01-01,1997-03-26,1,0.2299794661190965
e-NET Inc,1995,0,1996-01-01,1997-04-07,IPO,Jay_Ritter,,,,1996-01-01,1997-04-07,1,1.264887063655031
Nexar Technologies Inc,1995,0,1995-01-01,1997-04-08,IPO,Jay_Ritter,,,,1995-01-01,1997-04-08,1,2.2669404517453797
BEA Systems Inc,1995,1,1996-01-01,1997-04-10,IPO,Jay_Ritter,,,,1996-01-01,1997-04-10,1,1.273100616016427
Go2Net Inc,1996,0,1997-01-01,1997-04-23,IPO,Jay_Ritter,,,,1997-01-01,1997-04-23,1,0.3066392881587953
Lexington Healthcare Group,1995,0,1996-01-01,1997-05-19,IPO,Jay_Ritter,,,,1996-01-01,1997-05-19,1,1.379876796714579
MER Telemanagement Solutions,1995,0,1996-01-01,1997-05-21,IPO,Jay_Ritter,,,,1996-01-01,1997-05-21,1,1.3853524982888432
Apple Orthodontix Inc,1996,0,1997-01-01,1997-05-22,IPO,Jay_Ritter,,,,1997-01-01,1997-05-22,1,0.3860369609856263
NetSpeak Corp,1995,0,1996-01-01,1997-05-29,IPO,Jay_Ritter,,,,1996-01-01,1997-05-29,1,1.4072553045859
Conserver Corp of America,1996,0,1997-01-01,1997-06-06,IPO,Jay_Ritter,,,,1997-01-01,1997-06-06,1,0.4271047227926078
Simulations Plus Inc,1996,0,1997-01-01,1997-06-18,IPO,Jay_Ritter,,,,1997-01-01,1997-06-18,1,0.459958932238193
Aurora Biosciences Corp,1995,1,1996-01-01,1997-06-19,IPO,Jay_Ritter,,,,1996-01-01,1997-06-19,1,1.4647501711156743
Peak International Ltd,1997,0,1997-01-01,1997-06-20,IPO,Jay_Ritter,,,,1997-01-01,1997-06-20,1,0.4654346338124572
"Life Financial Corp, CA",1996,0,1997-01-01,1997-06-24,IPO,Jay_Ritter,,,,1997-01-01,1997-06-24,1,0.47638603696098564
New Century Financial Corp,1995,0,1996-01-01,1997-06-25,IPO,Jay_Ritter,,,,1996-01-01,1997-06-25,1,1.4811772758384667
ChromaVision Medical Systems,1996,1,1997-01-01,1997-07-01,IPO,Jay_Ritter,,,,1997-01-01,1997-07-01,1,0.49555099247091033
InfoCure Corp,1996,0,1997-01-01,1997-07-10,IPO,Jay_Ritter,,,,1997-01-01,1997-07-10,1,0.5201916495550992
Metals USA Inc,1996,0,1997-01-01,1997-07-10,IPO,Jay_Ritter,,,,1997-01-01,1997-07-10,1,0.5201916495550992
At Home Corp,1995,1,1996-01-01,1997-07-11,IPO,Jay_Ritter,,,,1996-01-01,1997-07-11,1,1.5249828884325805
CCA Prison Realty Trust,1997,0,1997-01-01,1997-07-15,IPO,Jay_Ritter,,,,1997-01-01,1997-07-15,1,0.5338809034907598
Travel Services International,1996,1,1997-01-01,1997-07-22,IPO,Jay_Ritter,,,,1997-01-01,1997-07-22,1,0.5530458590006845
Net.B@NK Inc,1997,0,1997-01-01,1997-07-28,IPO,Jay_Ritter,,,,1997-01-01,1997-07-28,1,0.5694729637234771
American Champion,1997,0,1997-01-01,1997-07-30,IPO,Jay_Ritter,,,,1997-01-01,1997-07-30,1,0.5749486652977412
Vestcom International Inc,1996,0,1997-01-01,1997-07-30,IPO,Jay_Ritter,,,,1997-01-01,1997-07-30,1,0.5749486652977412
Pan Pacific Ret Ppty Inc,1997,0,1997-01-01,1997-08-07,IPO,Jay_Ritter,,,,1997-01-01,1997-08-07,1,0.5968514715947981
International Isotopes Inc,1995,0,1995-01-01,1997-08-14,IPO,Jay_Ritter,,,,1995-01-01,1997-08-14,1,2.617385352498289
SL Green Realty Corp,1997,0,1997-01-01,1997-08-14,IPO,Jay_Ritter,,,,1997-01-01,1997-08-14,1,0.6160164271047228
U S Liquids Inc,1996,0,1997-01-01,1997-08-19,IPO,Jay_Ritter,,,,1997-01-01,1997-08-19,1,0.6297056810403833
CTB International Corp,1995,0,1995-01-01,1997-08-20,IPO,Jay_Ritter,,,,1995-01-01,1997-08-20,1,2.6338124572210813
OrthAlliance Inc,1996,0,1997-01-01,1997-08-21,IPO,Jay_Ritter,,,,1997-01-01,1997-08-21,1,0.6351813826146475
Premium Cigars International,1996,0,1997-01-01,1997-08-21,IPO,Jay_Ritter,,,,1997-01-01,1997-08-21,1,0.6351813826146475
INSpire Insurance Solutions,1995,0,1996-01-01,1997-08-22,IPO,Jay_Ritter,,,,1996-01-01,1997-08-22,1,1.6399726214921286
AutoCyte Inc,1996,1,1997-01-01,1997-09-05,IPO,Jay_Ritter,,,,1997-01-01,1997-09-05,1,0.676249144421629
Hanover Capital Mortgage,1997,0,1997-01-01,1997-09-15,IPO,Jay_Ritter,,,,1997-01-01,1997-09-15,1,0.70362765229295
MuniHoldings California,1997,0,1997-01-01,1997-09-16,IPO,Jay_Ritter,,,,1997-01-01,1997-09-16,1,0.7063655030800822
MuniHoldings New York Insured,1997,0,1997-01-01,1997-09-16,IPO,Jay_Ritter,,,,1997-01-01,1997-09-16,1,0.7063655030800822
BridgeStreet Accommodations,1996,0,1997-01-01,1997-09-24,IPO,Jay_Ritter,,,,1997-01-01,1997-09-24,1,0.7282683093771389
Intercorp Excelle Inc,1997,0,1997-01-01,1997-10-10,IPO,Jay_Ritter,,,,1997-01-01,1997-10-10,1,0.7720739219712526
China Telecom(Hong Kong),1995,0,1996-01-01,1997-10-16,IPO,Jay_Ritter,,,,1996-01-01,1997-10-16,1,1.7905544147843941
N2K Inc,1995,1,1996-01-01,1997-10-17,IPO,Jay_Ritter,,,,1996-01-01,1997-10-17,1,1.7932922655715264
Ameripath Inc,1996,1,1997-01-01,1997-10-22,IPO,Jay_Ritter,,,,1997-01-01,1997-10-22,1,0.8049281314168378
American Resid Invst Trust Inc,1997,0,1997-01-01,1997-10-28,IPO,Jay_Ritter,,,,1997-01-01,1997-10-28,1,0.8213552361396304
Young Innovations Inc,1995,0,1995-01-01,1997-11-04,IPO,Jay_Ritter,,,,1995-01-01,1997-11-04,1,2.841889117043121
Somnus Medical Technologies,1996,1,1997-01-01,1997-11-06,IPO,Jay_Ritter,,,,1997-01-01,1997-11-06,1,0.8459958932238193
Prime Group Realty Trust,1997,0,1997-01-01,1997-11-11,IPO,Jay_Ritter,,,,1997-01-01,1997-11-11,1,0.8596851471594799
Captec Net Lease Realty Inc,1997,0,1997-01-01,1997-11-13,IPO,Jay_Ritter,,,,1997-01-01,1997-11-13,1,0.865160848733744
C3 Inc,1995,0,1996-01-01,1997-11-14,IPO,Jay_Ritter,,,,1996-01-01,1997-11-14,1,1.8699520876112252
Entertainment Properties Trust,1997,0,1997-01-01,1997-11-18,IPO,Jay_Ritter,,,,1997-01-01,1997-11-18,1,0.8788501026694046
InterVU Inc,1995,0,1996-01-01,1997-11-19,IPO,Jay_Ritter,,,,1996-01-01,1997-11-19,1,1.8836413415468858
American Physician Partners,1996,1,1997-01-01,1997-11-20,IPO,Jay_Ritter,,,,1997-01-01,1997-11-20,1,0.8843258042436687
HealthWorld Corp,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009
HomeUSA Inc,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009
Teligent Inc,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009
Apex Silver Mines Ltd,1996,0,1997-01-01,1997-11-25,IPO,Jay_Ritter,,,,1997-01-01,1997-11-25,1,0.8980150581793293
Consolidation Capital Corp,1997,0,1997-01-01,1997-11-25,IPO,Jay_Ritter,,,,1997-01-01,1997-11-25,1,0.8980150581793293
Shopping.com,1996,0,1997-01-01,1997-11-25,IPO,Jay_Ritter,,,,1997-01-01,1997-11-25,1,0.8980150581793293
Stirling Cooke Brown Holdings,1995,0,1996-01-01,1997-11-25,IPO,Jay_Ritter,,,,1996-01-01,1997-11-25,1,1.9000684462696784
MetroNet Communications Corp,1995,0,1996-01-01,1997-12-03,IPO,Jay_Ritter,,,,1996-01-01,1997-12-03,1,1.9219712525667352
USWeb Corp,1995,1,1996-01-01,1997-12-05,IPO,Jay_Ritter,,,,1996-01-01,1997-12-05,1,1.9274469541409993
Thermo Vision(Thermo Inst),1995,0,1996-01-01,1997-12-10,IPO,Jay_Ritter,,,,1996-01-01,1997-12-10,1,1.9411362080766599
ESG Re Ltd,1997,0,1997-01-01,1997-12-12,IPO,Jay_Ritter,,,,1997-01-01,1997-12-12,1,0.944558521560575
PacificHealth Laboratories,1995,0,1996-01-01,1997-12-19,IPO,Jay_Ritter,,,,1996-01-01,1997-12-19,1,1.9657768651608487
Diversified Senior Services,1996,0,1997-01-01,1998-01-09,IPO,Jay_Ritter,,,,1997-01-01,1998-01-09,1,1.0212183436002737
Resource Asset Investment,1997,0,1998-01-01,1998-01-09,IPO,Jay_Ritter,,,,1998-01-01,1998-01-09,1,0.02190280629705681
